"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.131910772E2,6.507043667E1,2.550375167E1,1.781480200E1,1.232759714E0,4.227000046E1,1.600000024E0,1.119999981E1
1.141910772E2,6.507044333E1,2.550376500E1,1.831479872E1,1.202391148E0,3.747000122E1,1.600000024E0,1.130000019E1
1.151910772E2,6.507045167E1,2.550378500E1,1.881479439E1,1.198788047E0,4.068000031E1,1.600000024E0,1.080000019E1
1.161910772E2,6.507046000E1,2.550380667E1,1.951478995E1,1.174596071E0,4.784000015E1,1.600000024E0,1.080000019E1
1.171910772E2,6.507046667E1,2.550382667E1,1.981478620E1,1.157610297E0,4.193000031E1,1.600000024E0,1.089999962E1
1.181910772E2,6.507047500E1,2.550384000E1,1.991478234E1,1.128785849E0,3.656999969E1,1.600000024E0,1.069999981E1
1.191910772E2,6.507048667E1,2.550385667E1,1.991477708E1,1.116432548E0,3.399000168E1,1.600000024E0,1.060000038E1
1.201910772E2,6.507049667E1,2.550386833E1,2.001477275E1,1.136506677E0,4.106000137E1,1.600000024E0,1.089999962E1
1.211910772E2,6.507050500E1,2.550388500E1,2.011476866E1,1.153492451E0,4.774000168E1,1.600000024E0,1.080000019E1
1.221910772E2,6.507052000E1,2.550390167E1,2.031476223E1,1.179228663E0,3.511000061E1,1.600000024E0,1.069999981E1
1.231910772E2,6.507053833E1,2.550391167E1,2.041475509E1,1.210626721E0,3.196999931E1,1.600000024E0,1.069999981E1
1.241910772E2,6.507054833E1,2.550392500E1,2.011475065E1,1.238421679E0,3.859000015E1,1.600000024E0,1.069999981E1
1.251910772E2,6.507056000E1,2.550393833E1,1.961474562E1,1.258495808E0,3.115999985E1,1.600000024E0,1.069999981E1
1.261910772E2,6.507056833E1,2.550395000E1,1.921474188E1,1.251804471E0,3.550999832E1,1.500000000E0,1.089999962E1
1.271910772E2,6.507057500E1,2.550396667E1,1.911473837E1,1.232759714E0,4.161000061E1,1.600000024E0,1.089999962E1
1.281910772E2,6.507058167E1,2.550398833E1,1.911473451E1,1.212685585E0,3.279000092E1,1.600000024E0,1.100000000E1
1.291910772E2,6.507058833E1,2.550401000E1,1.941473065E1,1.195184946E0,4.231999969E1,1.700000048E0,1.080000019E1
1.301910772E2,6.507059167E1,2.550403167E1,1.991472796E1,1.165331125E0,5.436999893E1,1.700000048E0,1.069999981E1
1.311910772E2,6.507059833E1,2.550405333E1,2.011472411E1,1.111799955E0,3.229999924E1,1.700000048E0,1.060000038E1
1.321910772E2,6.507060833E1,2.550407167E1,2.021471931E1,1.084519744E0,3.670000076E1,1.700000048E0,1.060000038E1
1.331910772E2,6.507062167E1,2.550409167E1,2.051471324E1,1.082975507E0,3.042000008E1,1.700000048E0,1.069999981E1
1.341910772E2,6.507063500E1,2.550410333E1,2.031470774E1,1.085549116E0,2.347999954E1,1.700000048E0,1.080000019E1
1.351910772E2,6.507064500E1,2.550411333E1,2.051470353E1,1.048489213E0,9.550000191E0,1.799999952E0,1.100000000E1
1.361910772E2,6.507065167E1,2.550411667E1,2.011470096E1,1.036650538E0,4.849999905E0,1.700000048E0,1.100000000E1
1.371910772E2,6.507066000E1,2.550411000E1,1.991469851E1,1.049003839E0,3.534800110E2,1.700000048E0,1.119999981E1
1.381910772E2,6.507067167E1,2.550410000E1,1.941469512E1,1.029444456E0,3.345700073E2,1.700000048E0,1.130000019E1
1.391910772E2,6.507068500E1,2.550409000E1,1.911469114E1,1.034591675E0,3.326499939E2,1.700000048E0,1.100000000E1
1.401910772E2,6.507069500E1,2.550407667E1,1.891468856E1,1.062901378E0,3.357699890E2,1.700000048E0,1.110000038E1
1.411910772E2,6.507071000E1,2.550407500E1,1.831468342E1,1.130329967E0,3.438200073E2,1.700000048E0,1.089999962E1
1.421910772E2,6.507072000E1,2.550406333E1,1.791468073E1,1.169448853E0,3.366199951E2,1.700000048E0,1.060000038E1
1.431910772E2,6.507073167E1,2.550404833E1,1.711467769E1,1.168419480E0,3.345100098E2,1.700000048E0,1.060000038E1
1.441910772E2,6.507074167E1,2.550404000E1,1.651467476E1,1.182831645E0,3.257799988E2,1.700000048E0,1.080000019E1
1.451910772E2,6.507075333E1,2.550402333E1,1.611467183E1,1.212685585E0,3.315299988E2,1.700000048E0,1.080000019E1
1.461910772E2,6.507076500E1,2.550401667E1,1.601466821E1,1.239451170E0,3.372300110E2,1.700000048E0,1.050000000E1
1.471910772E2,6.507077833E1,2.550400000E1,1.621466470E1,1.244598389E0,3.299599915E2,1.700000048E0,1.069999981E1
1.481910772E2,6.507078333E1,2.550398333E1,1.591466411E1,1.244598389E0,3.318800049E2,1.600000024E0,1.080000019E1
1.491910772E2,6.507078167E1,2.550396667E1,1.571466586E1,1.215773940E0,3.251099854E2,1.700000048E0,1.080000019E1
1.501910772E2,6.507078833E1,2.550395667E1,1.571466422E1,1.177169681E0,3.315000000E2,1.600000024E0,1.060000038E1
1.511910772E2,6.507079833E1,2.550394333E1,1.581466164E1,1.152463078E0,3.241600037E2,1.600000024E0,1.069999981E1
